file_id,file_number,file_title,file_type,section,received_date,due_date,completed_date,status,priority,assigned_to,remarks
F206,/DFO/2026/206,Collaboration Approval 11/3,Circular,Research,2026-04-12,2026-04-19,2026-04-17,completed,high,vikram,Closed
F207,/DFO/2026/207,Seizure Case 11/1,Correspondence,Enforcement,2026-04-07,2026-04-19,,pending,low,meera,Pending action
F208,/DFO/2026/208,Encroachment Dossier 11/2,Permit,Enforcement,2026-04-10,2026-04-17,2026-04-17,completed,medium,meera,Closed
F209,/DFO/2026/209,Field Complaint 11/3,Proposal,Enforcement,2026-04-13,2026-04-21,2026-04-18,completed,high,meera,Closed
F210,/DFO/2026/210,Rescue Memo 12/1,Inspection Report,Wildlife,2026-05-02,2026-05-09,,in_progress,high,ramesh,Pending action
F211,/DFO/2026/211,Patrolling Report 12/2,Complaint,Wildlife,2026-05-05,2026-05-13,2026-05-10,completed,urgent,ramesh,Closed
F212,/DFO/2026/212,Census Circular 12/3,Notice,Wildlife,2026-05-08,2026-05-17,2026-05-14,completed,low,ramesh,Closed
F213,/DFO/2026/213,Camera Trap Proposal 12/4,Budget,Wildlife,2026-05-11,2026-05-21,2026-05-18,completed,medium,ramesh,Closed
F214,/DFO/2026/214,Survival Report 12/1,Circular,Plantation,2026-05-03,2026-05-11,,pending,urgent,sita,Pending action
F215,/DFO/2026/215,Nursery Note 12/2,Correspondence,Plantation,2026-05-06,2026-05-15,2026-05-11,completed,low,sita,Closed
F216,/DFO/2026/216,Seedling Approval 12/3,Permit,Plantation,2026-05-09,2026-05-19,2026-05-21,completed,medium,sita,Closed
F217,/DFO/2026/217,Movement Note 12/1,Proposal,Administration,2026-05-04,2026-05-13,,pending,urgent,ajay,Pending action
F218,/DFO/2026/218,Procurement File 12/2,Inspection Report,Administration,2026-05-07,2026-05-17,,escalated,low,ajay,Pending action
F219,/DFO/2026/219,Service Book Update 12/3,Complaint,Administration,2026-05-10,2026-05-21,,pending,medium,ajay,Pending action
F220,/DFO/2026/220,Arrear Clarification 12/1,Notice,Finance,2026-05-05,2026-05-15,2026-05-12,completed,urgent,pooja,Closed
F221,/DFO/2026/221,Account Reconciliation 12/2,Budget,Finance,2026-05-08,2026-05-19,2026-05-13,completed,low,pooja,Closed
F222,/DFO/2026/222,Advance Settlement 12/3,Circular,Finance,2026-05-11,2026-05-23,2026-05-17,completed,medium,pooja,Closed
F223,/DFO/2026/223,Grant Statement 12/1,Correspondence,Research,2026-05-06,2026-05-17,2026-05-13,completed,urgent,vikram,Closed
F224,/DFO/2026/224,Collaboration Approval 12/2,Permit,Research,2026-05-09,2026-05-21,2026-05-14,completed,low,vikram,Closed
F225,/DFO/2026/225,Sampling Note 12/3,Proposal,Research,2026-05-12,2026-05-19,2026-05-18,completed,medium,vikram,Closed
F226,/DFO/2026/226,Encroachment Dossier 12/1,Inspection Report,Enforcement,2026-05-07,2026-05-19,,pending,urgent,meera,Pending action
F227,/DFO/2026/227,Field Complaint 12/2,Complaint,Enforcement,2026-05-10,2026-05-17,2026-05-15,completed,low,meera,Closed
F228,/DFO/2026/228,Patrol Action Memo 12/3,Notice,Enforcement,2026-05-13,2026-05-21,2026-05-19,completed,medium,meera,Closed
